founder_id,gender,age,education_level,alma_mater,field_of_study,prior_work_experience,is_first_generation,startup_id,industry_sector,city,state,funding_amount,funding_rounds,jobs_created,is_unicorn,investor_count,has_female_investor,founding_year,mentorship_access,policy_support
F00037,Male,30,Bachelor’s,Other,Other,10,Yes,S06667,Financial Services,Delhi,Maharashtra,5657156.845411089,4,90,No,6,No,2019,No,No
F00038,Male,45,PhD,Other,Arts,17,No,S04945,Other,Bengaluru,Other,11657469.561714567,6,2030,No,21,No,2018,No,Yes
F00039,Female,27,Bachelor’s,None,Computer Science,3,Yes,S04346,Financial Services,Mumbai,Maharashtra,2556087.024105595,5,9,No,13,No,2014,No,No
F00040,Male,30,Bachelor’s,Other,Engineering,16,Yes,S03820,Consumer Goods,Mumbai,Other,3821218.5469621555,3,94,No,10,No,2002,No,No
F00041,Male,25,Bachelor’s,IIT Roorkee,Engineering,0,Yes,S03412,Consumer Goods,Other,Other,1128234.3845866052,5,32,No,15,Yes,2001,No,No
F00042,Male,22,Master’s,Other,Engineering,2,Yes,S03442,Software,Other,Delhi,37232789.33483809,9,833,No,26,No,2013,Yes,No
F00043,Male,30,Bachelor’s,Other,Business,2,Yes,S07732,Healthcare,Mumbai,Other,31532590.28615075,9,51,No,17,No,2000,Yes,No
F00044,Prefer not to say,22,Bachelor’s,Other,Engineering,5,Yes,S04707,Consumer Goods,Mumbai,Other,319806.5012557009,0,37,No,2,No,2015,No,Yes
F00045,Male,49,Bachelor’s,IIT Delhi,Computer Science,5,Yes,S01294,Consumer Goods,Other,Delhi,45098438.320809804,8,4463,No,36,No,2001,No,Yes
F00046,Female,28,Bachelor’s,IIT Delhi,Other,4,Yes,S01059,Software,Mumbai,Other,794087.2077502728,1,16,No,2,No,2022,No,No
F00047,Male,29,Bachelor’s,Other,Computer Science,1,Yes,S00515,Other,Bengaluru,Other,2112983.484,3,2,No,13,No,2002,No,Yes
F00048,Male,24,PhD,Other,Engineering,17,Yes,S05824,Software,Mumbai,Other,764286.6909756679,1,20,No,2,No,2015,No,No
F00049,Male,50,Bachelor’s,Other,Engineering,22,Yes,S07007,Consumer Goods,Bengaluru,Other,1938704.1146496139,4,312,No,6,No,2005,No,Yes
F00050,Male,24,Bachelor’s,IIT Delhi,Engineering,2,Yes,S06368,Consumer Goods,Other,Other,17477174.252095092,6,81,No,34,No,2009,No,Yes
F00051,Prefer not to say,26,Bachelor’s,Other,Business,0,No,S03677,Other,Other,Karnataka,670727.1824820337,1,58,No,5,Yes,2005,No,Yes
F00052,Prefer not to say,22,Master’s,None,Computer Science,1,No,S03089,Software,Other,Maharashtra,3998026.035948993,4,40,No,12,No,2014,No,No
F00053,Prefer not to say,25,Bachelor’s,Other,Other,1,Yes,S04857,Software,Bengaluru,Other,6763157.769617396,5,100,No,13,No,2004,Yes,No
F00054,Prefer not to say,53,High School,IIT Delhi,Engineering,23,Yes,S05426,Financial Services,Bengaluru,Delhi,49942930.705605954,8,238,No,47,No,2024,No,No
F00055,Male,23,Bachelor’s,BITS Pilani,Business,0,Yes,S00921,Consumer Goods,Delhi,Delhi,73333101.84,6,71,Yes,28,No,2002,No,Yes
F00056,Prefer not to say,19,Other,Other,Engineering,5,No,S07210,Software,Other,Karnataka,1295823.2047350148,5,4469,No,12,No,2018,No,No
F00057,Male,23,Bachelor’s,Other,Engineering,5,Yes,S05207,Healthcare,Other,Delhi,48032421.38081362,7,39,No,45,No,2018,No,No
F00058,Male,29,High School,Other,Computer Science,5,Yes,S00733,Healthcare,Other,Karnataka,1752590.6167818387,5,61,No,13,No,2013,Yes,No
F00059,Male,23,Bachelor’s,Other,Engineering,4,Yes,S04487,Software,Other,Other,2265248.6454973035,4,9,No,12,Yes,2025,No,Yes
F00060,Male,18,Bachelor’s,IIT Roorkee,Engineering,2,Yes,S02436,Software,Bengaluru,Delhi,7158417.265400852,4,450,No,9,No,2002,No,No
F00061,Male,27,Master’s,Other,Engineering,29,Yes,S01596,Consumer Goods,Mumbai,Maharashtra,6550028.164551714,3,9,No,10,No,2018,No,Yes
F00062,Male,23,Master’s,Other,Computer Science,4,No,S06723,Other,Other,Maharashtra,617919.7292755912,1,2,No,1,No,2023,No,No
F00063,Prefer not to say,24,Bachelor’s,Other,Computer Science,5,No,S05294,Other,Delhi,Karnataka,112830.51149688425,2,315,No,0,Yes,2025,No,No
F00064,Male,29,Bachelor’s,BITS Pilani,Arts,3,Yes,S03839,Consumer Goods,Bengaluru,Other,1772632.269162704,4,70,No,10,No,2020,No,Yes
F00065,Male,25,High School,Other,Engineering,3,Yes,S07681,Consumer Goods,Delhi,Other,1573143.4573031291,3,89,No,12,No,2024,Yes,Yes
F00066,Male,52,Bachelor’s,Other,Business,7,Yes,S00799,Other,Other,Other,842348.6708930753,0,89,No,4,No,2020,No,No
F00067,Male,30,Master’s,Other,Computer Science,4,Yes,S00969,Software,Delhi,Maharashtra,22881571.736080527,6,43,No,43,Yes,2025,No,Yes
F00068,Prefer not to say,28,Bachelor’s,Other,Business,3,Yes,S05979,Other,Other,Other,3390450.7254594225,5,469,No,12,No,2021,Yes,No
F00069,Male,24,Bachelor’s,IIT Roorkee,Computer Science,1,No,S04383,Other,Mumbai,Other,278238.30654427217,0,57,No,0,No,2003,No,No
F00070,Prefer not to say,24,Bachelor’s,IIT Roorkee,Business,0,No,S02934,Consumer Goods,Bengaluru,Maharashtra,515312.4977268724,1,154,No,2,No,2008,No,No
F00071,Prefer not to say,27,Master’s,Other,Computer Science,2,Yes,S05390,Financial Services,Bengaluru,Other,8430867.109746065,5,884,No,10,No,2000,Yes,No
F00072,Male,24,Master’s,IIT Delhi,Engineering,23,Yes,S03544,Other,Bengaluru,Other,27598.885752181508,0,410,No,5,No,2014,No,No
F00073,Male,30,Bachelor’s,Other,Computer Science,13,Yes,S03907,Software,Bengaluru,Delhi,36015004.26132499,8,399,No,24,Yes,2020,No,No
F00074,Prefer not to say,24,Bachelor’s,Other,Business,3,Yes,S06047,Financial Services,Other,Other,11066705.052366734,10,16,No,46,No,2007,Yes,Yes
F00075,Non-binary,29,Other,Other,Engineering,1,Yes,S07355,Consumer Goods,Mumbai,Delhi,7445655.426624909,4,41,No,10,No,2015,No,No
F00076,Prefer not to say,27,Bachelor’s,Other,Computer Science,1,Yes,S01056,Software,Mumbai,Karnataka,1212384.4490019474,3,92,No,14,No,2015,No,Yes
F00077,Prefer not to say,23,Bachelor’s,Other,Engineering,9,Yes,S01955,Software,Other,Delhi,330025.8170765852,0,3,No,2,No,2016,No,Yes
F00078,Male,23,Master’s,Other,Computer Science,1,Yes,S08015,Financial Services,Other,Other,10458749.642810497,10,39,No,32,No,2002,No,No
F00079,Male,25,Bachelor’s,Other,Arts,25,Yes,S07153,Software,Mumbai,Other,2354578.4614810427,3,78,No,10,Yes,2009,Yes,No
F00080,Male,26,Bachelor’s,Other,Other,5,Yes,S03606,Consumer Goods,Other,Other,3600621.3996401792,5,10,No,10,No,2022,No,No
F00081,Prefer not to say,30,Master’s,Other,Arts,1,Yes,S05947,Software,Mumbai,Maharashtra,4565022.676910888,5,4941,No,12,No,2015,No,No
F00082,Female,30,High School,BITS Pilani,Other,2,No,S00814,Financial Services,Delhi,Delhi,10446177.399860628,10,83,No,28,Yes,2011,Yes,No
F00083,Male,24,Master’s,Other,Other,1,Yes,S06751,Software,Other,Other,36045509.76427097,6,206,No,38,No,2018,Yes,No
F00084,Male,42,Bachelor’s,Other,Other,0,No,S07689,Software,Other,Delhi,542784.3648359302,2,53,No,0,No,2024,No,No
F00085,Male,25,Other,Other,Computer Science,17,Yes,S01219,Other,Other,Maharashtra,5836497.194190179,5,63,No,13,No,2025,No,No
F00086,Male,28,Bachelor’s,BITS Pilani,Computer Science,3,Yes,S04594,Software,Other,Other,233994.88500117054,2,100,No,2,No,2003,Yes,Yes
F00087,Prefer not to say,55,Master’s,Other,Arts,3,Yes,S01220,Software,Other,Other,251625.25459084517,2,81,No,5,No,2014,Yes,Yes
F00088,Female,22,Bachelor’s,Other,Engineering,26,Yes,S02380,Financial Services,Other,Other,92306363.55738983,6,551,Yes,17,No,2014,No,No
F00089,Prefer not to say,22,Bachelor’s,Other,Other,13,No,S02011,Consumer Goods,Gurugram,Other,10280857.635127336,8,2071,No,40,Yes,2016,Yes,No
F00090,Male,28,Bachelor’s,IIT Delhi,Other,0,Yes,S02297,Other,Gurugram,Maharashtra,1990044.572675975,3,39,No,15,Yes,2015,No,Yes
F00091,Male,27,Master’s,None,Other,1,Yes,S06172,Software,Other,Other,644488.7564782997,2,79,No,2,No,2002,Yes,Yes
F00092,Non-binary,29,Bachelor’s,IIT Delhi,Engineering,0,Yes,S01240,Healthcare,Mumbai,Maharashtra,412705.8834597217,0,97,No,0,Yes,2023,Yes,No
F00093,Prefer not to say,28,Master’s,Other,Computer Science,14,No,S06636,Other,Other,Other,291286.1883332239,0,78,No,4,No,2022,No,No
F00094,Male,27,Bachelor’s,Other,Business,3,Yes,S02533,Software,Other,Maharashtra,475464.1456,1,7,No,1,No,2021,No,No
F00095,Prefer not to say,30,Master’s,IIT Delhi,Engineering,1,Yes,S01122,Financial Services,Other,Delhi,356578.7868228873,1,46,No,4,No,2022,No,Yes
F00096,Male,29,Bachelor’s,BITS Pilani,Other,3,No,S06555,Other,Other,Delhi,4280395.522323613,5,89,No,7,No,2025,No,No
F00097,Male,58,Bachelor’s,Other,Other,4,Yes,S05068,Software,Mumbai,Karnataka,526414.4539419785,2,118,No,1,Yes,2005,No,No
F00098,Male,23,Bachelor’s,None,Other,13,No,S04242,Other,Delhi,Maharashtra,3249720.721271852,3,80,No,12,Yes,2015,Yes,No
F00099,Male,28,Bachelor’s,None,Business,25,Yes,S04834,Consumer Goods,Other,Other,4456687.136638858,5,264,No,7,No,2018,No,No
F00100,Male,28,Bachelor’s,IIT Delhi,Engineering,3,No,S06006,Software,Bengaluru,Delhi,418173.41849289037,2,3631,No,5,No,2024,Yes,No
F00101,Male,30,Master’s,Other,Arts,3,Yes,S07964,Consumer Goods,Bengaluru,Maharashtra,18497129.736084636,9,283,No,21,No,2022,No,No
F00102,Female,28,Bachelor’s,IIT Roorkee,Engineering,2,No,S03905,Consumer Goods,Bengaluru,Other,5656827.615583241,4,23,No,13,No,2018,Yes,No
F00103,Male,21,Bachelor’s,BITS Pilani,Other,19,Yes,S00339,Software,Mumbai,Maharashtra,171863.91586811346,1,65,No,3,No,2023,No,Yes
F00104,Male,25,Bachelor’s,None,Computer Science,2,Yes,S02706,Other,Mumbai,Karnataka,92471424.79339366,6,40,Yes,46,No,2001,No,No
F00105,Prefer not to say,41,Bachelor’s,None,Engineering,4,Yes,S04326,Consumer Goods,Gurugram,Other,424532.3264095945,0,48,No,1,No,2007,Yes,No
F00106,Male,24,PhD,Other,Arts,29,Yes,S03505,Other,Delhi,Maharashtra,6255906.885058075,5,76,No,13,Yes,2006,Yes,Yes
F00107,Male,25,Bachelor’s,BITS Pilani,Computer Science,4,Yes,S01118,Consumer Goods,Gurugram,Karnataka,18138403.84574346,9,90,No,22,No,2019,No,No
F00108,Prefer not to say,27,Master’s,Other,Engineering,3,Yes,S03700,Consumer Goods,Other,Karnataka,807045.3466636305,2,3,No,1,Yes,2008,Yes,No
F00109,Male,29,Bachelor’s,Other,Computer Science,1,Yes,S06353,Software,Mumbai,Karnataka,1063936.3898936396,4,356,No,6,No,2018,No,No
F00110,Male,29,Bachelor’s,None,Engineering,3,Yes,S07180,Software,Delhi,Delhi,1630908.1785171416,5,56,No,7,No,2017,No,No
F00111,Male,28,Bachelor’s,Other,Engineering,2,Yes,S01483,Consumer Goods,Bengaluru,Karnataka,498178.5357036525,1,63,No,4,No,2022,Yes,No
F00112,Male,27,Bachelor’s,Other,Business,16,Yes,S05351,Other,Other,Other,220638.23854426044,1,86,No,1,No,2005,No,No
F00113,Prefer not to say,29,High School,IIT Delhi,Business,5,Yes,S02443,Other,Other,Delhi,8518123.102018282,3,484,No,14,No,2021,Yes,No
F00114,Prefer not to say,25,Bachelor’s,None,Engineering,1,No,S07376,Software,Gurugram,Other,212706.34689713523,2,54,No,0,No,2018,No,Yes
F00115,Female,26,Bachelor’s,Other,Business,4,No,S06543,Other,Other,Other,158216.00589080554,0,71,No,1,No,2019,No,No
F00116,Prefer not to say,25,Bachelor’s,Other,Engineering,0,Yes,S00735,Financial Services,Bengaluru,Other,2850065.7009217325,5,310,No,7,No,2019,No,No
F00117,Prefer not to say,26,Master’s,BITS Pilani,Engineering,2,Yes,S01981,Software,Bengaluru,Maharashtra,4959059.140846426,5,67,No,15,No,2020,No,No
F00118,Male,29,Bachelor’s,IIT Delhi,Business,3,Yes,S04932,Other,Delhi,Maharashtra,2630409.593067489,3,38,No,12,Yes,2016,Yes,No
F00119,Prefer not to say,22,Master’s,IIT Roorkee,Business,1,Yes,S04563,Software,Delhi,Karnataka,4152991.7313307333,4,4175,No,10,No,2020,No,No
F00120,Male,42,High School,IIT Delhi,Arts,4,Yes,S01739,Healthcare,Mumbai,Karnataka,513342.55026131775,2,60,No,2,No,2011,No,No
F00121,Prefer not to say,24,Master’s,Other,Arts,3,Yes,S02540,Software,Other,Other,168496.4036549358,0,55,No,3,No,2007,No,No
F00122,Prefer not to say,28,Bachelor’s,Other,Business,3,Yes,S01982,Software,Other,Delhi,7729753.119468876,5,121,No,7,No,2020,No,No
F00123,Male,20,Bachelor’s,Other,Business,13,Yes,S00708,Other,Delhi,Other,2228834.2599033574,3,76,No,13,No,2018,Yes,No
F00124,Male,26,High School,BITS Pilani,Engineering,0,Yes,S02127,Consumer Goods,Mumbai,Maharashtra,11620387.989817264,9,11,No,32,Yes,2010,No,Yes
F00125,Male,30,Bachelor’s,IIT Delhi,Computer Science,28,Yes,S02039,Consumer Goods,Bengaluru,Maharashtra,689225.4665751471,0,5,No,1,No,2024,No,Yes
F00126,Male,20,Master’s,Other,Arts,1,No,S05366,Financial Services,Other,Karnataka,1797058.909701846,4,79,No,14,No,2021,No,No
F00127,Prefer not to say,49,Bachelor’s,Other,Business,0,No,S01785,Other,Bengaluru,Other,5091275.6051818635,3,62,No,14,No,2020,No,No
F00128,Prefer not to say,23,PhD,Other,Business,0,Yes,S00479,Consumer Goods,Mumbai,Other,49390033.47950427,7,116,No,43,No,2016,No,Yes
F00129,Male,26,Master’s,Other,Computer Science,2,Yes,S03410,Software,Mumbai,Other,23950.058423845978,0,4599,No,0,No,2016,Yes,No
F00130,Male,22,Bachelor’s,Other,Other,4,Yes,S02199,Other,Other,Karnataka,870715.8362,2,33,No,1,No,2020,Yes,No
F00131,Male,29,Bachelor’s,Other,Computer Science,12,Yes,S00975,Other,Other,Other,102911990.53883421,9,210,Yes,31,No,2022,No,No
F00132,Male,28,PhD,Other,Arts,0,No,S05639,Consumer Goods,Other,Maharashtra,21948272.737721298,10,89,No,43,No,2021,No,No
F00133,Male,30,High School,IIT Delhi,Computer Science,1,Yes,S02905,Other,Bengaluru,Maharashtra,9707012.795446826,5,35,No,8,No,2017,No,No
F00134,Male,24,Master’s,None,Engineering,18,Yes,S00590,Software,Gurugram,Karnataka,2396143.214843254,3,89,No,14,No,2004,No,Yes
F00135,Prefer not to say,27,PhD,Other,Engineering,6,Yes,S08313,Software,Other,Delhi,1699504.8608664682,4,53,No,8,No,2004,Yes,No
F00136,Male,23,Master’s,Other,Business,5,Yes,S03869,Software,Mumbai,Maharashtra,864446.9322,1,2004,No,0,No,2017,No,No
F00137,Male,24,Master’s,None,Engineering,4,Yes,S08133,Other,Bengaluru,Other,125969289.44153957,6,93,Yes,24,Yes,2024,No,No
F00138,Non-binary,29,Master’s,BITS Pilani,Computer Science,7,Yes,S02259,Healthcare,Delhi,Maharashtra,1321698.4798236212,4,84,No,8,No,2024,Yes,No
F00139,Male,48,Master’s,Other,Computer Science,16,No,S08118,Financial Services,Bengaluru,Karnataka,3479901.394170418,5,25,No,15,No,2024,Yes,No
F00140,Prefer not to say,28,Bachelor’s,Other,Business,4,Yes,S04838,Consumer Goods,Other,Other,2450170.3903473085,4,24,No,12,No,2019,Yes,Yes
F00141,Prefer not to say,24,Bachelor’s,Other,Engineering,5,Yes,S06480,Healthcare,Gurugram,Maharashtra,332347.16386123246,2,16,No,3,No,2011,No,No
F00142,Male,25,Master’s,IIT Delhi,Engineering,0,Yes,S04673,Financial Services,Mumbai,Other,7921725.913797392,5,97,No,8,No,2020,No,No
F00143,Male,27,PhD,None,Computer Science,16,Yes,S07622,Healthcare,Bengaluru,Other,14777.799792947444,1,108,No,4,No,2024,Yes,No
F00144,Male,25,Bachelor’s,None,Arts,0,Yes,S03714,Healthcare,Other,Maharashtra,7280311.005018728,4,53,No,9,No,2013,No,No
F00145,Male,28,Bachelor’s,Other,Arts,5,Yes,S05692,Financial Services,Delhi,Maharashtra,11664259.898716765,8,1369,No,40,No,2016,Yes,No
F00146,Male,25,Bachelor’s,BITS Pilani,Arts,21,Yes,S03453,Financial Services,Bengaluru,Maharashtra,126619.12528976086,1,130,No,0,No,2009,No,Yes
F00147,Female,24,Master’s,Other,Computer Science,25,Yes,S05533,Other,Delhi,Karnataka,705022.3702845295,2,276,No,1,No,2022,No,No
F00148,Male,26,High School,Other,Other,2,No,S00837,Financial Services,Other,Maharashtra,52229754.15944415,9,0,Yes,48,No,2017,No,No
F00149,Male,37,Bachelor’s,Other,Other,7,No,S07139,Financial Services,Other,Karnataka,3304648.906609272,4,18,No,8,No,2020,No,No
F00150,Male,24,PhD,IIT Roorkee,Business,5,Yes,S02127,Consumer Goods,Mumbai,Maharashtra,11620387.989817264,9,11,No,32,Yes,2010,No,Yes
F00151,Prefer not to say,25,Bachelor’s,BITS Pilani,Computer Science,4,Yes,S05691,Other,Delhi,Maharashtra,3687625.249066308,5,75,No,15,No,2023,Yes,Yes
F00152,Male,29,Other,Other,Business,2,Yes,S05130,Consumer Goods,Other,Maharashtra,7689615.244057892,5,33,No,6,Yes,2018,No,No
F00153,Male,30,Other,IIT Roorkee,Engineering,5,No,S06687,Consumer Goods,Other,Karnataka,6679251.377646376,4,93,No,13,No,2019,Yes,No
F00154,Male,24,PhD,Other,Business,16,No,S02172,Software,Other,Maharashtra,151613.2472012496,2,45,No,3,No,2025,Yes,No
F00155,Prefer not to say,24,Bachelor’s,BITS Pilani,Computer Science,30,No,S05522,Healthcare,Gurugram,Other,5516093.891815856,4,31,No,10,No,2023,Yes,No
F00156,Male,23,Bachelor’s,None,Business,18,Yes,S00710,Consumer Goods,Bengaluru,Maharashtra,19104991.84236654,7,40,No,45,No,2015,No,No
F00157,Female,48,Master’s,Other,Engineering,5,No,S06405,Software,Mumbai,Other,421354.8112185228,1,14,No,2,No,2025,Yes,No
F00158,Prefer not to say,22,Bachelor’s,BITS Pilani,Business,19,Yes,S07444,Financial Services,Mumbai,Other,48802655.77506306,8,4306,No,29,No,2012,No,No
F00159,Male,42,Bachelor’s,IIT Delhi,Business,4,Yes,S06186,Healthcare,Bengaluru,Maharashtra,1289743.0065598898,3,56,No,7,No,2017,No,Yes
F00160,Prefer not to say,27,PhD,Other,Engineering,2,Yes,S01661,Software,Gurugram,Other,1681452.0796682534,3,7,No,14,No,2006,Yes,No
F00161,Male,55,Bachelor’s,Other,Engineering,3,Yes,S05801,Other,Gurugram,Other,1868640.9508727954,5,96,No,11,No,2019,No,No
F00162,Female,23,Bachelor’s,IIT Roorkee,Engineering,0,Yes,S06900,Other,Mumbai,Delhi,777566.3699577957,1,93,No,0,No,2020,No,No
F00163,Female,30,High School,Other,Business,5,Yes,S05006,Other,Bengaluru,Other,145864.80406913103,1,22,No,0,No,2018,Yes,No
F00164,Male,60,Master’s,None,Business,0,Yes,S03995,Healthcare,Other,Maharashtra,618733.6828974425,1,30,No,2,No,2018,No,No
F00165,Male,30,Master’s,IIT Delhi,Engineering,2,Yes,S07479,Software,Other,Maharashtra,3361391.230869328,5,0,No,11,Yes,2017,No,Yes
F00166,Prefer not to say,30,Bachelor’s,BITS Pilani,Engineering,2,Yes,S02703,Financial Services,Other,Other,31243393.916461185,10,26,No,41,No,2016,No,No
F00167,Male,29,Bachelor’s,Other,Business,1,No,S01131,Software,Other,Delhi,1795686.6964131491,3,45,No,6,No,2015,Yes,No
F00168,Male,53,Bachelor’s,Other,Engineering,4,Yes,S02337,Financial Services,Mumbai,Karnataka,3627917.6911015757,4,2,No,11,No,2024,No,No
F00169,Male,27,Bachelor’s,IIT Delhi,Other,3,No,S02768,Healthcare,Mumbai,Other,1262356.450027708,5,77,No,8,No,2020,Yes,No
F00170,Male,27,Bachelor’s,Other,Business,1,Yes,S04043,Consumer Goods,Bengaluru,Other,1423522.950011738,3,42,No,7,No,2005,No,No
F00171,Female,29,Bachelor’s,IIT Roorkee,Business,3,Yes,S06786,Consumer Goods,Other,Karnataka,1268264.160010281,4,96,No,15,No,2016,No,Yes
F00172,Male,20,Bachelor’s,Other,Computer Science,1,Yes,S06093,Consumer Goods,Bengaluru,Maharashtra,47207035.43413087,9,279,No,18,No,2006,No,No
F00173,Male,24,Bachelor’s,Other,Business,1,Yes,S03779,Financial Services,Gurugram,Maharashtra,71874444.89136146,6,4051,Yes,23,No,2016,No,Yes
F00174,Male,23,Master’s,Other,Computer Science,0,Yes,S04180,Financial Services,Other,Other,6472289.513160898,5,54,No,12,No,2022,Yes,No
F00175,Female,22,Bachelor’s,Other,Engineering,4,Yes,S04248,Consumer Goods,Other,Maharashtra,198568.93077944743,0,26,No,5,Yes,2014,Yes,No
F00176,Male,33,PhD,Other,Engineering,11,Yes,S06043,Other,Mumbai,Karnataka,2029608.2002907488,5,56,No,8,No,2010,No,No
F00177,Female,24,Master’s,Other,Engineering,3,No,S02710,Software,Bengaluru,Maharashtra,12839473.28944118,8,25,No,41,No,2017,No,No
F00178,Male,30,Master’s,BITS Pilani,Arts,0,Yes,S07781,Financial Services,Mumbai,Other,874061.2306044175,0,22,No,1,No,2016,No,No
F00179,Prefer not to say,21,Bachelor’s,Other,Computer Science,3,Yes,S02613,Consumer Goods,Bengaluru,Other,13565246.50379741,9,78,No,48,No,2018,No,No
